timestamp,p_temperature,p_humidity,p_count,p_temphum_sensor_count,dev_id,p_pm25,p_pm10,p_pm_sensor_count,p_corrected,p_display
1563352200000000000,null,null,null,null,nesta-2-1,5,6,6,True,True
1568974507723571000,12.0,10.0,34,3,aurn-3,5,7,10,False,True
1561874415114659000,10.0,30.0,35,3,aurn-1,5,6,10,False,True
1552734900000000000,16.0,72.0,61,1,nesta-4,5,10,6,True,True
1575147606464074000,8.0,65.0,112,1,nesta-4,8,8,5,False,True
1566282609233591000,12.0,18.0,47,3,aurn-3,6,8,10,False,True
1563752700000000000,25.0,70.0,82,1,nesta-4,6,6,6,True,True
1565394300000000000,29.0,40.0,94,2,nesta-4,10,20,6,True,True
1566223208458093000,13.0,14.0,28,3,aurn-4,5,6,10,False,True
1575051307455686000,7.0,100.0,4,1,b2-new-forest,5,5,4,False,True
1561503614118674000,11.0,31.0,200,3,aurn-1,24,22,10,False,True
1564281900000000000,39.0,42.0,129,3,nesta-2-1,3,4,6,True,True
1574156703292325000,13.0,43.0,277,1,nesta-6,20,18,6,False,True
1569597308205372000,12.0,15.0,58,3,aurn-3,8,9,10,False,True
1560540600000000000,23.0,45.0,40,1,nesta-1,3,5,6,True,True
1573488012266062000,9.0,86.0,5,1,b1-lanchester,5,5,5,False,True
1570120207511480000,null,null,34,0,nesta-5,2,3,6,False,True
1562076000000000000,2.0,1.0,20,3,nesta-5,2,2,6,True,True
1566038700000000000,31.0,31.0,132,3,nesta-2-1,3,4,2,True,True
1553649300000000000,null,null,null,null,nesta-4,9,11,6,True,True
1559439900000000000,null,null,null,null,nesta-2-1,12,13,6,True,True
1564045214906886000,16.0,15.0,123,3,aurn-4,16,19,10,False,True
1576090806961284000,7.0,73.0,145,1,nesta-11,9,9,6,False,True
1556841614006892000,7.0,16.0,27,3,aurn-1,4,4,8,False,True
1564689600000000000,17.0,24.0,80,2,nesta-4,7,8,6,True,True
1573288213008941000,2.0,100.0,33,1,b1-lanchester,26,21,5,False,True
1560244512392478000,8.0,24.0,7,3,aurn-1,2,2,10,False,True
1574330403418507000,15.0,46.0,349,1,nesta-6,23,21,6,False,True
1564061400000000000,null,null,null,null,nesta-7,15,17,6,True,True
1565203500000000000,11.0,17.0,27,3,nesta-6,2,3,6,True,True
1565478900000000000,null,null,null,null,nesta-2-1,5,9,6,True,True
1558523700000000000,16.0,16.0,57,2,nesta-4,5,5,6,True,True
1575119706720141000,11.0,4.0,32,2,aurn-2,6,8,10,False,True
1559431813433273000,11.0,17.0,84,3,aurn-2,11,11,10,False,True
1562833814058298000,11.0,12.0,34,3,aurn-4,5,6,10,False,True
1575939608169415000,4.0,100.0,8,1,b2-new-forest,10,8,4,False,True
1566496800000000000,null,null,null,null,nesta-7,6,7,6,True,True
1556802912824265000,10.0,12.0,40,3,aurn-2,6,6,10,False,True
1561187712863136000,13.0,19.0,109,3,aurn-2,14,14,10,False,True
1568885407004433000,22.0,40.0,46,1,nesta-8,3,5,6,False,True
1570554008667009000,23.0,49.0,42,1,nesta-7,4,5,4,False,True
1566809107764932000,14.0,15.0,199,3,aurn-4,24,23,10,False,True
1574316006871997000,10.0,65.0,239,1,nesta-4,17,14,5,False,True
1560137413229853000,7.0,22.0,40,3,aurn-1,6,6,10,False,True
1566246600000000000,18.0,25.0,49,2,nesta-4,4,7,6,True,True
1554846313460052000,11.0,8.0,55,3,nesta-6,7,6,10,False,True
1562940900000000000,11.0,10.0,32,3,nesta-6,3,4,6,True,True
1553812200000000000,19.0,46.0,478,1,nesta-5,33,40,6,True,True
1567592106780285000,24.0,36.0,29,1,nesta-7,3,3,4,False,True
1567472407747862000,25.0,41.0,27,1,nesta-8,2,2,6,False,True
